20;20-24;20-29;20-39;*
21;20-24;20-29;20-39;*
22;20-24;20-29;20-39;*
23;20-24;20-29;20-39;*
24;20-24;20-29;20-39;*
25;25-29;20-29;20-39;*
26;25-29;20-29;20-39;*
27;25-29;20-29;20-39;*
28;25-29;20-29;20-39;*
29;25-29;20-29;20-39;*
30;30-34;30-39;20-39;*
31;30-34;30-39;20-39;*
32;30-34;30-39;20-39;*
33;30-34;30-39;20-39;*
34;30-34;30-39;20-39;*
35;35-39;30-39;20-39;*
36;35-39;30-39;20-39;*
37;35-39;30-39;20-39;*
38;35-39;30-39;20-39;*
39;35-39;30-39;20-39;*
40;40-44;40-49;40-59;*
41;40-44;40-49;40-59;*
42;40-44;40-49;40-59;*
43;40-44;40-49;40-59;*
44;40-44;40-49;40-59;*
45;45-49;40-49;40-59;*
46;45-49;40-49;40-59;*
47;45-49;40-49;40-59;*
48;45-49;40-49;40-59;*
49;45-49;40-49;40-59;*
50;50-54;50-59;50-69;*
51;50-54;50-59;50-69;*
52;50-54;50-59;50-69;*
53;50-54;50-59;50-69;*
54;50-54;50-59;50-69;*
55;50-54;50-59;50-69;*
56;50-54;50-59;50-69;*
57;50-54;50-59;50-69;*
58;50-54;50-59;50-69;*
59;50-54;50-59;50-69;*
60;60-54;60-69;60-79;*
